ID,Jogador,Time,Idade,Jogos,Minutos,Roubadas_de_bola,Desarmes,Faltas_cometidas,Dribles_sofridos,Gols,Assistências,Chutes,Passes_chaves,Dribles_realizados,Faltas_sofridas,Impedimentos,Perdas_de_bola,Nota
180,Nathan,Atletico MG,24,11(10),1016,0.7,0.8,0.4,0.3,3,1,1.3,1,0.4,0.5,0.1,0.4,6.65
181,Ferrareis,Atletico GO,25,24(2),1710,0.6,0.8,1.4,0.7,3,2,1.3,1,0.8,2,0.3,0.9,6.65
182,Joao Paulo,Santos FC,25,19(1),1764,0.1,0.1,0.1,0.1,0,0,0.1,0,0.1,0.2,0,0,6.65
183,Ricardo Graça,Vasco da Gama,23,14(1),1158,0.9,1.1,0.6,0.3,0,0,0.5,0.1,0.3,0.7,0,0.3,6.65
184,Vanderlei,Gremio,36,22,1980,0,0.1,0,0,0,0,0,0,0,0.2,0,0,6.65
185,Bruno Melo,Fortaleza,28,15(5),1378,1,0.7,1.3,0.4,2,1,0.5,0.4,0.1,0.7,0.2,0.2,6.64
186,Nathan Silva,Coritiba,23,11(1),971,1.6,1.3,2.2,0.9,1,1,0.8,0.5,0.1,0.9,0,0.3,6.64
187,Bruno Nazário,Botafogo RJ,25,19(3),1584,1.5,0.4,1.2,1.6,1,2,1.5,1.7,1.1,1.4,0,0.9,6.64
188,Marcelo Benevenuto,Botafogo RJ,25,25,2150,1,1.3,1,0.3,1,1,0.7,0.2,0.4,0.6,0.1,0.1,6.64
189,Húdson,Fluminense,32,18(2),1441,1.8,0.8,1.8,1.2,0,2,0.6,0.5,0.4,1.1,0.1,0.5,6.64
190,Pará,Santos FC,34,18(3),1621,1.1,1.3,1.3,0.7,0,0,0.6,0.4,0.8,1,0.1,0.4,6.63
191,Ze Gabriel,Internacional,21,16(3),1439,1.5,1.2,1,0.7,0,0,0.1,0.1,0.4,0.8,0,0.2,6.63
192,Carlinhos,Fortaleza,34,16(6),1547,1,1,1.4,0.2,0,0,0.2,0.8,0.1,1,0.1,0.2,6.63
193,Bruno Tubarão,Red Bull Bragantino,25,12(10),1088,0.7,1.1,0.7,0.7,1,1,1.3,0.8,1.2,0.6,0.1,0.8,6.63
194,Vitinho,Flamengo,27,8(14),799,0.8,0.4,0.9,0.3,2,2,1.6,0.9,1.2,0.5,0.1,0.9,6.63
195,Éder,Atletico GO,25,26,2327,0.7,1.5,1.4,0.2,0,0,0.3,0.2,0.2,0.5,0,0.2,6.63
196,Samuel Xavier,Ceara,30,23,1971,1.7,1.1,1.3,1,1,3,0.5,1,0.3,1.4,0,0.6,6.63
197,Bruno Cortez,Gremio,33,18(2),1514,1.7,0.7,1.2,0.7,0,0,0.3,0.4,1.1,1,0.1,0.3,6.63
198,Mateus Vital,Corinthians,22,9(8),783,0.8,0.4,0.4,0.8,3,0,0.9,0.5,1.2,1.6,0.1,1.1,6.63
199,Sander,Sport Recife,30,13(6),1116,1.8,1.9,1.1,1,0,0,0.3,0.5,0.4,2,0,0.3,6.63
200,Rodrigo Lindoso,Internacional,31,14(11),1434,1,1,1.5,1.2,0,1,0.4,0.6,0.2,0.5,0,0.3,6.62
201,Gabriel,Corinthians,28,18(4),1514,2.4,1.8,1.5,1.6,0,2,0.5,0.6,0.3,1,0,0.2,6.62
202,Marcos Paulo,Fluminense,19,14(9),1206,0.4,0.6,0.4,0.8,3,3,1.1,0.8,1.2,0.3,0,1.4,6.62
